								
Sheet maintained by a.clay.brick, contact clay@bricktap.org with issues! 						Discord.gg/BrickTap		
Check out the Brick Tap LEGO Set List to see retirement dates and more for every set!				Check out the Brick Tap LEGO Calendar spreadsheet for info on upcoming promos!				
Fan Model	Set #	Set Name	Piece Count	Release Date	Rumored Price	Approval Date	Submission Link	Notes
Ideas Pipeline								
	21365	Love Birds	TBA	Jan 2026	$50-60	Feb 10, 2025	Submission	Contest Winner - "Build from the Heart"
	21366	Floating Sea Otter	1234	Mar 2026	$119.99 USD	Mar 21, 2025	Submission	
	TBA	Snoopy - Campfire	TBA	TBA	TBA	Mar 21, 2025	Submission	
	TBA	GWP: Sea Serpent	TBA	TBA	GWP	May 28, 2025	Submission	Contest Winner - "A Twist of Nostalgia" 
	TBA	Tintin - Space Rocket	TBA	TBA	TBA	Jun 17, 2025	Submission	
	TBA	Godzilla	TBA	TBA	TBA	Jun 17, 2025	Submission	
	TBA	The X-Files: The Truth Is Out There	TBA	TBA	TBA	Jun 25, 2025	Submission	Contest Winner - "Build Your Nostalgia – 90s Throwback!"
	TBA	Wallace & Gromit	TBA	TBA	TBA	Jun 25, 2025	Submission	Contest Winner - "90s Throwback – The Next Chapter!"
	TBA	GWP: Build, Paint, and Play!	TBA	TBA	GWP	Sep 3, 2025	Submission	Contest Winner - "Build Your Hobby" 
	TBA	Vintage Sewing Machine	TBA	TBA	TBA	Sep 8, 2025	Submission	Contest Winner - "Timeless Creations!"
	TBA	Go Go Power Rangers! Lego Megazord	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	Smurf Village	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	La Catrina	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	Downton Abbey: Highclere Castle	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	ラーメン。 Ramen	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	E.T. The Extra-Terrestrial	TBA	TBA	TBA	Oct 30, 2025	Submission	
Ideas Parking Lot								
"Any Product Idea that needs additional time after a review round, for whatever reason, will be placed into the Parking Lot until we can make a final decision. " - Lego								
	TBA	Camping Trip	TBA	TBA	TBA	Jun 17, 2025	Submission	
	TBA	Golden Girls	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	Daft Punk Concert	TBA	TBA	TBA	Oct 30, 2025	Submission	
	TBA	The Old Man and the Sea	TBA	TBA	TBA	Oct 30, 2025	Submission	
