,,,,,,,,,,,,
Theme,Subtheme,Set #,Set Name,Age,Piece Count,Retirement Date,LEGO.com Link,,,,,"Notes: (Exclusivity, release, etc.)"
Pick-a-Brick,-,-,Retiring Pick-a-Brick Pieces,-,-,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77054,Leif's Caravan & Garden Shop,7+,263,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77055,Able Sisters' Clothing Shop,6+,322,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77057,Creative Houses: Seasons of Fun,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,30731,Tom Nook and Flying Present (Polybag),6+,33,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Animal Crossing,-,77053,Stargazing with Celeste,6+,78,"Dec 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77056,Blathers's Museum Collection,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,-,77058,Goldie's Cosy House,,,"Dec 31, 2026",US,CA,UK,AU,MX,
Animal Crossing,Buildable Figure,77059,Timmy & Tommy's Fun Day Out,,513,"Jul 31, 2027",US,CA,UK,AU,MX,
Architecture,- ,21042,Statue of Liberty,16+,1685,"Jul 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21058,The Great Pyramid of Giza,18+,1476,"Jul 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21060,Himeji Castle,18+,2125,"Dec 31, 2026",US,CA,UK,AU,MX,
Architecture,- ,21034,London,12+,468,"Jul 31, 2027",US,CA,UK,AU,MX,
Architecture,LEGO House,21037,LEGO House,12+,774,"Jul 31, 2027",US,CA,UK,AU,MX,(EU) Exclusive to LEGO | (WW) The LEGO House
Architecture,-,21062,Trevi Fountain,18+,1880,"Jul 31, 2027",US,CA,UK,AU,MX,
Architecture,-,21061,Notre-Dame de Paris,18+,4383,"Dec 31, 2027",US,CA,UK,AU,MX,
Architecture,-,21063,Neuschwanstein Castle,18+,3455,"Dec 31, 2028",US,CA,UK,AU,MX,
Architecture,-,21064,Paris,18+,958,"Dec 31, 2028",US,CA,UK,AU,MX,
Architecture,-,21066,New York City – The Big Apple,18+,1465,"Dec 31, 2028",US,CA,UK,AU,MX,
Art,- ,31208,Hokusai - The Great Wave,18+,1810,"Jul 31, 2026",US,CA,UK,AU,MX,
Art,-,31213,Mona Lisa,18+,1503,"Jul 31, 2026",US,CA,UK,AU,MX,
Art,Fauna Collection,31217,The Fauna Collection - Tiger,,,"Jul 31, 2026",US,CA,UK,AU,MX,
Art,-,31216,Keith Haring - Dancing Figures,18+,1773,"Dec 31, 2026",US,CA,UK,AU,MX,
Art,Space,31212,The Milky Way Galaxy,18+,3091,"Jul 31, 2027",US,CA,UK,AU,MX,
Art,-,31214,LOVE,18+,791,"Jul 31, 2027",US,CA,UK,AU,MX,
Art,-,31215,Vincent van Gogh - Sunflowers,18+,2615,"Dec 31, 2027",US,CA,UK,AU,MX,
Art,-,31218,Japanese Cherry Blossom Landscape,18+,1892,"Dec 31, 2028",US,CA,UK,AU,MX,
Art,-,31220,Claude Monet – Bridge over a Pond of Water Lilies,18+,3179,"Dec 31, 2028",US,CA,UK,AU,MX,
Bluey,-,11201,Playground Fun with Bluey and Chloe,4+,104,"Dec 31, 2026",US,CA,UK,AU,MX,
Bluey,-,11202,Bluey's Beach & Family Car Trip,4+,133,"Dec 31, 2026",US,CA,UK,AU,MX,
Bluey,-,30687,Bluey Tea Party (Polybag),4+,33,"Dec 31, 2026",n/a,n/a,n/a,n/a,n/a,
Bluey,-,11216,Grannies with Bingo and Bluey,4+,80,"Dec 31, 2027",US,CA,UK,AU,MX,
Bluey,Buildable Figure,11217,Brick-Built Bluey Family,,466,"Dec 31, 2027",US,CA,UK,AU,MX,
Bluey,-,11221,School with Rusty and Bluey,4+,106,"Dec 31, 2027",US,CA,UK,AU,MX,
Bluey,-,30713,Fancy Restaurant with Bingo (Polybag),4+,23,"Dec 31, 2027",US,CA,UK,AU,MX,
Bluey,-,11203,Bluey's Family House,4+,382,"Dec 31, 2030",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,10345,Flower Arrangement,18+,1161,"Dec 31, 2026",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,30701,Field Flowers,9,77,"Dec 31, 2026",US,CA,UK,AU,MX,
Botanicals,Botanical Collection,40725,Cherry Blossoms,8+,430,"Dec 31, 2026",US,CA,UK,AU,MX,
